translate_ru,translate_nn,source,article_ru,article_nn
" — Завтра посмотрю свою лодку, пригодна ли она?", — Хуняна ңаноми манэтадм’ мэсана ңэбтав’?,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 На другой день пошли они вдвоем с зятем., Няби яляхана иянда ня’ хаяха’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Лодка его зарос-ла густой травой’, между досками выглядывает жесткая трава."," Ңанода ңумңэ ливармы”, по-ё”маната марэй’ салвы”.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Зять подумал, что она не пригодна.", Ийда ихинанда токалңада.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" — Сыночек, не считай ее непригодной. Один-то раз можно ее использовать. У нее только носовая часть ободрана."," — Ебтов”, тюкомд нёр токалпю”, ңопой мэсана, нябири хуңгада лабсуй.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Дед, легко таща лодку, будто рысью бежит.", Ириюм’ тикы ңаном’ нюхулемба танетанараха.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Дошли они до чума., Мяканди’ тэвъяха’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Пришла весна’., Нумдо’ нарэйма.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 На тальниковой реке растаял лед., Неро яха’ салаба хая.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Старик говорит обоим детям: — Лед растаял, погрузите в лодку нужные вам вещи."," Вэсако нюхуюта ня’ ма: — Салабава хая, ңанонди’ мю’ тарана ңавориди’ пэңади’.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Когда будете плыть, держите направление только на юг.", Мимбати’ минри’ яля’ ңыл’ ңэя.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Если не сможете, то живите оседло.", Нибти’ пирас” нядэлъяди’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Через семь дней начнет ваша лодка скрипеть — тогда три раза возьмешься за лодку., Си”ив’ ёльцьңгана ңанори’ ла”нэлаңгу” — няхар” на”амъир.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Когда два раза возьмешься, доберетесь до безбрежного моря.", Сидя’ ня’амвахананд ясяда ямд’ тэваңгуди”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Когда в третий раз возьмешься за лодку, она сама встанет в устье тальниковой речки; когда возь-мешься на четвертый раз, лодка встанет у извилины реки."," Няхаромдэй’ на-”амвахананд Неро яхако’ ня”ван’ ңанори’ харта нулты”, те-тимдей’ на”амвахананд яха’ харан’ нулты”.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Тогда стал старик отправлять своих детей., Тадахава вэсако нюхуюда ңэрдарамба пяңахаюда.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Старик, держа лодку долго молчит, старуха его снова говорит: — Долго же ты держишь детей своих, скорее отправь их."," Вэсако ңаном’ ня”амба пон’ мунзи, пухуцяда ңани’ ма: — Нюхуюд пон’ ня’амбихиюдэ, ңоб’ ңэдарахаюн’.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 — Хочу оставить мать своих собак., — Вэно’ ни небякоцям’ хаиреван’ харвав.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Старуха ему опять так говорит: — Если нужно тебе, оставь ее.", Пухуця ңани’ тарем’ ма: — Тарабта хаиредава.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Тогда его дети отправились., Тадахава нюхуюди’ хаяха’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Зять делает все, как советовал дед.", Иринда вади’ сер’ ийюм’ ңоб’ пэрңада.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Семь дней они плывут вдвоем., Си”ив яля’ миңаха’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Через некоторое время их лодка скользнула по земле, никуда нельзя сдвинуть."," Ңаво” пирка”на ңаноди’ я’ нимня хыны”, ханяхарт’ мэита яңгу.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Женщина говорит: — Пусть будет, как советовал дед — может это и есть наша жизнь, которую он нам завещал?", Неюм’ масьнё”: — Иринд вато’ сер’ ңэё — иландани’ табэданада ти ңэдакы?,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Высокий берег реки оказался круглым узким мысом., Яха’ хара’ ся” сюртяв ңыбкуй саля ңэвы.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Тогда женщина сорвала одну травинку., Не тикы яхад ңоб” ңув’ ясм’ ныкалңа.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Мужчина вдруг уснул., Хасаваюм’ лэркабт’ хонаравы”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
"Оказывается, травинка, сорванная женщиной стала чумом.", Ненда ны-калмы ңувэця мя”ңэ хая.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Чум их стоит посредине равнины., Мяти’ пеней я’ ерня ңа.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Мужчина вышел на улицу по своим делам., Хасава харта индя сер” пин’ хая.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Ему навстречу идет будто чудище: наверху у него торчат два отростка, внизу торчат четыре отростка."," Ңамгэда ңэса нянда ңылекараха ңамгэ яда — тю’уняюв’ сидя’ поръянада, я’ няюв’ тет’ поръянада.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Зять старика-ханты испугался, быстренько вошел в чум, стал рассказывать своей жене."," Хаби вэсако’ ий сеянда хэсь паромбари мят’ тю, нехэнда ваде ’лыда.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Жена же говорит: — Эти же олени, которые хотят быть у тебя.", Неюм’ маси”: — Тикахабид нянд харванид ни”им’ ңа” — тикыд ты”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Оленей запрягают в нарты., Ты ха-нахана мэта.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" В устье тальниковой реки было около десяти листвен-ниц, принеси их, не оставляя ни одной веточки."," Неро яханд ня’авахана юд’ мян” харв” танявыць, ңобкарт момдо’ нись хаё” тэваран”.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Зять старика-ханты пошел, вырубил лиственницы."," Хабн вэсако’ ий хая, харво маторъяда.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Идя в свое жилище, принял свой чум за чудище, очень испугался: — Это чудище наверняка нападет на меня?"," Мяканда мимандасер’ харта мята ңылекаңэ пя, сейда ңули” хая: — Тикы ңылека си’ми пянакы?",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Женщина вышла из чума, позвала своего мужа."," Неюм’ мякад ңадимя, хасавамда хаңада.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Мужчина прислонил дрова у двери., Хасава пида нё’ ядан’ е’ ңалэйда.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Как посмотрят утром на улицу — на другой стороне чума протянулся один длинный аргиш., Хуняна тад пин’ сылаванди’ — мяти’ няби хэ-вувна ңоб” ямб мюд халая.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" — Вот теперь есть у нас олени, есть и нарты."," — Тадахава ти, тэсавэңэ хаяни’, ханони’ таня”.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Ведь сказал дед твой: «Когда станете оленными, на одном месте не живите, ко-чуйте»."," Ирир маси”: «Тэсавэңэ хэбти’ ңопой яхана нёди’ иле”, мюсярңади’».",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Давай перекочуем., Ямдахани’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Женщина собрала свой чум, вдвоем загнали оленей в загон, женщина запрягла аргиш, и сразу же, двигаясь впереди, повела аргиш."," Не мята ха’ авра, ёрколаңаха’, не мюдамда пуйда, таминда нид ңудонда мюдм’ манзабта.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Пока они так кочевали, она направляла аргиш к югу.", Тарем’ мюсебата яля’ ңылари’ пэрңада.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Каждый день кочуют., Ялэ’ мюсеңаха’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Все это время мужчина гонит за аргишем свободных от упряжи оленей., Тарць” ямбахана хасаваюм’ танырңа.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Через какое-то время пересекли аргишную тропу, женщина остановилась на другой стороне дороги."," Ңаво” таняхуна недам’ нярахалаңаха’, неда’ тяхана не нулта-да.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Мужчина, увидев ар-гишную тропу, спрашивает: — Что же здесь волокли?", Недам’ манэць хасаваюм’ хонарку: — Тюку ңамгэ’ нюхула”ма?,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 — Это аргишная тропа., — Тикар неда.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Тут и встали они на том месте, видном другим чумам.", Мядо’ ңадь ян’ та’ ңэсыхы’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
Женщина опять говорит своему мужу: — Иди к чумам., Неюм’ хасаваханда ңани’ тарем’ ма: — Мяк” хань”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Расскажи, кто ты есть.", Хибя ңэвар вадес”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Когда остановишься, встань со стороны мужчин, не вставай со стороны женщин."," Нултаванд ёльцьңгана ха-сев” няюв’ нултад, не’ няюв’ нёр нулта”.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Зять старика-ханты поехал к чумам., Хаби вэсако ий мяк” хая.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Свою нарту поставил к сябу’, какая-то женщина стала его спрашивать: — Что вы за люди?"," Ханамда сябун’ сярада, не хонарам-ба пя: — Ңамгэ ненэцянда’?",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Женщины молчат и только думают: «Дурак, что ли?"," Не” мунзи”, иридо’ ядэрңа”: «Са”ла ңэдакы?",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
"К муж-чинам пошел, спросил, кто они такие.","” Хасев” няна хая, хибя” ңэвамдо’ хонара”.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Один из мужчин сказал: — Я старик Тундровый Харюци., Ңобто’ ма: — Мань Вы’ Харюци вэсакодм’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 А кто ты?, Пыдар хибян?,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 — Я зять старика-ханты., — Хаби вэсако’ иядм’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Тундровый Харюци сказал другим: — Жена у него, наверное, красивая.", Вы’ Харюци няхата ма: — Недя сядота не ңэдакы.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Давайте убьем дурака-ханты., Са”лако хаби хадавы ңэя.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Младший Харюци заговорил: — Отец, ты к каждому человеку пристаешь."," Нюдя Харюци вахалъй”: — Нисяхаваңэ, хусувэй ненэць’ пыдар пявандар.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" На священной стороне чума есть священное место, оказы-вается.", Си’ няна хэхэ” ядо’ танявы.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Стали тащить туда зятя старика-ханты — он стоит, как столб.", Хаби вэсако’ ийм’ таня’ нюху-лем-бидо’ — нядо’ перена пяраха.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Тундровый Харюци спросил младшего сына: — Если ты не придешь, убью тебя.", Вы’ Харюци нюдя нюмда хаңа: — Нибат ту” сит хадаңгудм’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Младший Харюци пришел, и они потащили зятя старика-ханты."," Нюдя Харюци то, хабим’ нюхуледо’.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Зятя старика-ханты повесили на верхушке шеста., Хаби вэсако’ ийм’ ямб яля’ пя’ малан’ ңыдадо’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" — За женой, наверное, завтра поедем.", — Немда хуняна хоцакэва”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 С наступлением утра пришли их олени., Нув’ ялэмзь тыдо’ то”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Тундровый Харюци запряг четырех серых оленей., Вы’ Харюци тет хорсе”эм’ сяра.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Посмотрели хорошенько, а пове-шенного на шесте нет.", Сававна манэць яля пя’ ни’ ңыдавы нядо’ хэвы.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Тогда дочь старика-ханты растопила костер., Хаби вэсако’ не ню’ якэда теда’ ңадимя.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Тундровый Харюци вошел в чум., Вы’ Харюци мят’ тю.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Дочь старика-ханты валяется на досках, не хочет вставать."," Не лат” ниня лабңорта, юркаван’ ни’ харва”.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Тогда Тундровый Харюци [пошел] по нежи-лой стороне чума, сел на священной стороне чума рядом с зя-тем старика-ханты."," Вы’ Харюци пелей’ нямна, хаби вэсако’ ий’ си’ ня’ ңамды”.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Стали есть — его нож натыкается на кости., Ңаволыд” — харда лэхэ” теберңа.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Женщину связали. , Тад нирцилаванда вы’ Харюци нямда еймананда харахана матидеда.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Задумали погрузить в нарту., Нем’ маноңадо’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 младший Харюци спрашивает других: — Что вы делаете?," Хан’ мю’ пэман’ харвадо’, нюдя Харюци нида хонара: — Пэртяра” ңамгэ таня?",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Вы же возитесь с травяной кочкой., Ладленара” ңум’ лахаць’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" И действительно, они возятся с травяной кочкой.", Ненэся ңод’ ңум’ лахацям’ ладлевы”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Стал раз-бирать чум — два [верхние] клапана нюка будто приклеились., Мята ха”аврамоа пя’ -сидя халакада тадда’ то”олахаха’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Тогда хлопнул Тундровый Харюци нижними частями рукавов верхней одежды — клапаны отклеились.," Тикахавахана вы’ Харюци сидя ңоталмамда ңобт’ пэйде, — халакаха’ пересянди’ яң-говы.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Чум разобрали., Мядм’ ха”аврадо’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Оленей загнали в загон, запрягли аргиш."," Ты ёркалңа”, мюдм’ пуйда”, ты подеръядо’.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Только собрались повести ар-гиш вперед, а тут все постромки и пуговички расстегнулись.", Мюдм’ нерняку’ ва”алтадонзь ңод” подеро” пясик” харто’ екаңга”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Опять Тундровый Харюци захлопал нижними частями рукавов верхней одежды, и аргиш двинулся вперед.", Вы’ Харюци ңани’ сидя ңотамламда ңобт’ пейде мюд хэңгада.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Наутро младший Харюци проснулся, совсем замерз."," Хуняна нюдя Харюци сиды, ху’ ханимы.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Посмотрел вокруг: чумы, товарищи — все вместе стоят вверх го-ловами торчком."," Сававна манэць мя-дода, нида мал’ ңокахандо’ ңэвто’ тю”уня’ ңэсь паллы”.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Младший Харюци пошел к чуму зятя старика-ханты., Нюдя Харюци хаби вэсако’ ий’ мят’ хая.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Женщина его, оказывается, только что развела костер.", Не тумда тандая’ пятавэда.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Младший Харюци пошел по нежилой стороне чума, сел возле очага и стал молиться."," Нюдя Харюци пелей’ нямна хая, тюмю’ вакан’ туёць пэй”.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Пожалев его, вошедшего в чум, подобно щенку, упавшего ничком к огню, женщина сказала: — Какой он жалкий, наверное, будет носить твою осеннюю малицу, чтобы дедушка не обиделся."," Тарем’ вэн’ нюдрев’ мят’ тювым’, тун’ хылкатанам’ сялилць не ма: — Такэр вэванё”, ңэрмонзь мальцякомд мэтнакы, пуна иринд им’ нён вомда”.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" На следующее утро они закочевали, зять старика-ханты идет сам впереди аргиша, младший Харюци гонит оленей сзади."," Хуняна ямдэйд”, хаби вэсако’ ий харта ңудонда, нюдя Харюци танырңа.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Если он останавливается, то останавливается напротив нарты нуто’.", Нултаб”та ңутос’ ирт’ нултасетыда.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" В одно из кочевий едущий впереди увеличил расстояние между остановками, остановился возле колодообразной сопки."," Ңопой мюселмахананандо’ ңудондана нултава’ пойм’ ям-бумдавы, паңгараха соты’ ни’ нултада.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Так смотрят: с правой стороны идут семеро., Тарем’ сырпато’ ты’ иня’ няңы хэвахад си”ив ядана.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Дети мужа стар-шей сестры младшего Харюци, племянники его, говорят: — Землю нашу разорил!"," Нюдя Харюци’ нинядэнда ню” — мяңгода ңэвы”, манзь ханадо’: — Ява” харе”ңан!",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" — Дам вам оленей: менаруев, кастрированных быков, самок — всех по двое, — так обещает зять старика-ханты."," — Тэдамда” таидм’, менаруй хабт”, яхадей” ңэңгу” — ңули” ңокаханда тодо’ сидя” ты”, — хаби вэсако’ ий тарем’ ватора.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Младший Харюци бьет его оленей по мясу на спине по обе стороны позвоночника, что аж шерсть разлетается клочьями."," Нюдя Харюцир тыда махайха” питарпида, таредо’ тянпида.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Уехал — неизвестно, куда.", Хэвня’ ңэдалэй”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Аргиши тронулись., Мюд” манзада”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Олени сами льют-ся за аргишем, словно ручей.", Ты” мюд’ пумна харто’ сяйна”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Пешие Харюци нагрузили нарту с двумя менаруями до самых носов., Яданидо’ Харюциндо’ сидя тынзь’ хабт’ ханм’ пыяха’ пэңадо’.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Там где-то добрались до своих чумов., Тайна хунандо’ мякандо’ тэвыд”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Тоненький дымок появился над чумом их безолен-ного отца, он говорит: — Это ведь, кажется, мясо настоящего оленя."," Тэсяда нисяндо’ ябтако якэда ңадимя, манзь ханада: — Тюкохобида” ненэй ты” ңамза” ңэдараха”.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Где нашли?, Ханяд хойда”?,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" — Наверное, это зять старика-ханты, погонщиком у него -младший брат нашей матери."," — Хаби вэсако’ ий ңэдараха, таныртаданда ңани’ нюдя тидя-ва” мэ”мы.",https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
 Мы его убьем., Маня” хадаңгува”.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
" Отец их говорит:  — Если это зять старика-ханты, пусть уходит.", Нисядо’ масьнё”: — Хаби вэсако’ ий ңэхэвабта таня хэя.,https://libraries-yanao.ru/upload/iblock/289/Jangasova.pdf,Старик-ханты,Хаби вэсако
